Montadoras,Modelos 
,Strada Working Celeb.1.4 Fire Flex 8V CS
,Strada Working HARD 1.4 Fire Flex 8V CD
,Strada Working HARD 1.4 Fire Flex 8V CE
,Strada Working HARD 1.4 Fire Flex 8V CS
,Strada Working Plus 1.4 8V Flex CS
,Strada/ Strada Working 1.5 mpi 8V CE
,Strada/ Strada Working 1.5 mpi 8V CS
,Tempra 2.0 i.e 16V 2p e 4p
,Tempra 2.0 i.e. 8V 2p e 4p
,Tempra 2.0 mpi 16V
,Tempra 8V/ City 8V
,Tempra HLX 2.0 16V 4p
,Tempra Ouro 16V 2p e 4p
,Tempra Ouro/Prata 2.0 2p e 4p
,Tempra Stile 2.0 i.e. Turbo 4p
,Tempra SW SLX 2.0 i.e.
,Tempra SX 2.0 16V 4p
,Tempra SX 2.0 i.e. 8V 4p
,Tempra Turbo 2.0 i.e. 2p
,Tipo 1.6 i.e. 2p e 4p
,Tipo 1.6 mpi 4p
,Tipo 2.0 16V 2p/4p
,Tipo 2.0 SLX 4p
,Toro Freedom 1.8 16V Flex Aut.
,Toro Freedom 2.0 16V 4x2 TB Diesel Mec.
,Toro Freedom 2.0 16V 4x4 TB Diesel Mec.
,Toro Freedom 2.4 16V Flex Aut.
,Toro Opening Edition 1.8 16V Flex Aut.
,Toro Volcano 2.0 16V 4x4 TB Diesel Aut.
,Uno 1.6 mpi 2p e 4p
,Uno 1.6R mpi / 1.6R / 1.5R
,UNO ATTRACTI. Celeb.1.4 EVO F.Flex 8V 2p
,UNO ATTRACTI. Celeb.1.4 EVO F.Flex 8V 4p
,UNO ATTRACTIVE 1.0 EVO Fire Flex 8V 5p
,UNO ATTRACTIVE 1.0 Flex 6V 5p
,UNO ATTRACTIVE 1.4 EVO Fire Flex 8V 2p
,UNO ATTRACTIVE 1.4 EVO Fire Flex 8V 4p
,Uno City / Smart City 1.0 4p
,Uno CS/Top/Sport 1.5 i.e. / 1.5 /1.3
,Uno CS/Top/Sport 1.5 i.e. / 1.5 4p
,Uno CSL 1.6 4p (Argentino)
,UNO ECONOMY 1.4 EVO Fire Flex 8V 2p
,UNO ECONOMY 1.4 EVO Fire Flex 8V 4p
,UNO ECONOMY Celeb. 1.4 EVO F. Flex 8V 2p
,UNO ECONOMY Celeb. 1.4 EVO F. Flex 8V 4p
,UNO EVOLUTION 1.4 Fire Flex 8V 5p
,UNO Furgão 1.0 Fire Flex 8V 3p
,Uno Furgão 1.3 mpi Fire/ Fire Flex 8V
,Uno Furgão 1.5 mpi/i.e.
,Uno Furgão 1.5/ 1.3
,Uno Mille ELX 2p e 4p
,Uno Mille 1.0 Electronic 4p
,Uno Mille 1.0 Fire/ F.Flex/ ECONOMY 2p
,Uno Mille 1.0 Fire/ F.Flex/ ECONOMY 4p
,Uno Mille 1.0/ i.e./ Electronic/ Brio
,Uno Mille Celeb. WAY ECON. 1.0 F.Flex 2p
,Uno Mille Celeb. WAY ECON. 1.0 F.Flex 4p
,Uno Mille Celeb/Celeb.ECON 1.0 F.Flex 2p
,Uno Mille Celeb/Celeb.ECON 1.0 F.Flex 4p
,Uno Mille EP 2p e 4p
,Uno Mille Grazie 1.0 Fire Flex 8v 4p
,Uno Mille SX 2p e 4p
,Uno Mille SX Young 1.0 IE
,UNO MILLE WAY ECO.XINGU 1.0 F.Flex 8v 5p
,Uno Mille WAY ECONOMY 1.0 F.Flex 2p
,Uno Mille WAY ECONOMY 1.0 F.Flex 4p
,Uno Mille/ Mille EX/ Smart 2p
,Uno Mille/ Mille EX/ Smart 4p
,Uno S 1.5 i.e. / 1.5 / 1.3/ SX 1.3
,UNO SPORT. Dual. 1.4 B.Edit. Flex 8V 5p
,UNO SPORT.INTERLAGOS 1.4 EVO F.Flex 8v
,UNO SPORTING 1.3 Flex 8V 5p
,UNO SPORTING 1.4 B.Edit. Flex 8V 5p
,UNO SPORTING 1.4 EVO Fire Flex 8V 2p
,UNO SPORTING 1.4 EVO Fire Flex 8V 4p
,UNO SPORTING Dualogic 1.3 Flex 8V 5p
,UNO SPORTING Dualogic 1.4 EVO Flex 8V 4p
,Uno Turbo 1.4 i.e. 2p
,UNO VIVACE 1.0 EVO Fire Flex 8V 3p
,UNO VIVACE Celeb. 1.0 EVO F. Flex 8V 3p
,UNO VIVACE Celeb. 1.0 EVO F.Flex 8V 5p
,UNO VIVACE College 1.0 EVO FireFlex 5p
,UNO VIVACE ITALIA 1.0 EVO F. Flex 8V 5p
,UNO VIVACE/RUA 1.0 EVO Fire Flex 8V 5p
,UNO WAY 1.0 EVO Fire Flex 8V 2p
,UNO WAY 1.0 EVO Fire Flex 8V 5p
,UNO WAY 1.0 Flex 6V 5p
,UNO WAY 1.3 Flex 8V 5p
,UNO WAY 1.4 EVO Dualogic Flex 8V 5p
,UNO WAY 1.4 EVO Fire Flex 8V 2p
,UNO WAY 1.4 EVO Fire Flex 8V 5p
,UNO WAY Celeb. 1.0 EVO Fire Flex 8V 2p
,UNO WAY Celeb. 1.0 EVO Fire Flex 8V 5p
,UNO WAY Celeb. 1.4 EVO Fire Flex 8V 2p
,UNO WAY Celeb. 1.4 EVO Fire Flex 8V 5p
,UNO WAY Dualogic 1.3 Flex 8V 5p
,UNO WAY RIO 450 1.0 EVO Flex 8V 5p
,UNO WAY XINGU 1.0 EVO F.Flex 8V 5P
,UNO WAY XINGU 1.4 EVO F.Flex 8V 5p
Fibravan,Buggy Off Road 1.8 8V
,Buggy Plus 1.6 8V
,Buggy Vip 1.6 8V Total Flex
,Buggy Vip 1.8 8V
Ford,Aerostar Mini-Van 3.8
,Aspire 1.3
,Belina GL 1.8 / 1.6
,Belina L 1.8/ 1.6
,Club Wagon V8
,Club Wagon XLT 4.9 V6
,Contour SE/ GL/ LX 2.0 16V
,Contour SE/GL/ LX 2.5 24V
,Corcel II GL/GT
,Corcel II L
,Courier 1.3i/Furgão
,Courier 1.6 L/ 1.6 Flex
,Courier CLX 1.4i 16V
,Courier Si 1.4i 16V
,Courier Sport 1.6 8v
,Courier Van 1.6/ 1.6 Flex 8V ( Carga )
,Courier XL/XL-RS 1.6/ XL 1.6 Flex
,Crown Victoria LX 4.6
,Del Rey Belina Ghia
,Del Rey Belina GL
,Del Rey Belina GLX
,Del Rey Belina L
,Del Rey Ghia 1.8 / 1.6 2p e 4p
,Del Rey GLX 1.6/1.8 / GL 1.6/1.8 2p e 4p
,Del Rey L 1.8 / 1.6 2p e 4p
,EcoSport 4WD 2.0/ 2.0 Flex 16V 5p
,EcoSport FREESTYLE 1.6 16V Flex 5p
,EcoSport FREESTYLE 1.6 16V Flex 5p Aut.
,EcoSport FREESTYLE 2.0 16V 4WD Flex 5p
,EcoSport FREESTYLE 2.0 16V Flex 5p
,EcoSport FREESTYLE 2.0 16V Flex 5p Aut.
,EcoSport S 1.6 16V Flex 5p
,EcoSport SE 1.6 16V Flex 5p Aut.
,EcoSport SE 1.6 16V Flex 5p Mec.
,EcoSport SE 2.0 16V Flex 5p Aut.
,EcoSport SE Direct 1.6 16V Flex 5p Aut.
,EcoSport TITANIUM 1.6 16V Flex 5p
,EcoSport TITANIUM 2.0 16V Flex 5p
,EcoSport TITANIUM 2.0 16V Flex 5p Aut.
,EcoSport XL 1.6/ 1.6 Flex 8V 5p
,EcoSport XL Supercharger 1.0 8V 95cv 5p
,EcoSport XLS 1.6/ 1.6 Flex 8V 5p
,EcoSport XLS 2.0/2.0 Flex 16V 5p Aut.
,EcoSport XLS FREESTYLE 1.6 Flex 8V 5p
,EcoSport XLT 1.6/ 1.6 Flex 8V 5p
,EcoSport XLT 2.0/ 2.0 Flex 16V 5p Aut.
,EcoSport XLT 2.0/ 2.0 Flex 16V 5p Mec.
,EcoSport XLT FREESTYLE 1.6 Flex 8V 5p
,EcoSport XLT FREESTYLE 2.0 Flex 16V 5p
,EDGE LIMITED 3.5 V6 24V AWD Aut.
,EDGE LIMITED 3.5 V6 24V FWD Aut.
,EDGE SEL 3.5 V6 24V FWD Aut.
,EDGE SEL 3.5 V6 24V AWD Aut.
,EDGE TITANIUM 3.5 V6 24V AWD Aut.
,Escort Racer 2.0i
,Escort Ghia 1.8i / 1.8 / 1.6
,Escort Ghia 2.0i / 2.0
,Escort GL 1.6 MPI
,Escort GL 1.6i / 1.6
,Escort GL 1.8i / 1.8
,Escort GL 1.8i 16V 3p
,Escort GL 1.8i 16V 4p
,Escort GLX 1.6i
,Escort GLX 1.8i 16V 4p
,Escort GLX 1.8i 8v
,Escort Guarujá 1.8 4p
,Escort Hobby 1.0
,Escort Hobby 1.6
,Escort L 1.8i / 1.8
,Escort L/LX 1.6
,Escort RS 1.8i 16V
,Escort S.W GL 1.8i 16V
,Escort S.W. GLX 1.8i 16V
,Escort SW 1.9 16v
,Escort SW GL 1.6 MPI
,Escort XR3 1.8 / 1.6 Beneton/Form./Laser
,Escort XR3 1.8 / 1.6 Conversível
,Escort XR3 2.0i
,Escort XR3 2.0i Conversível
,Expedition 5.4 V8
,Explorer Limited 4.0 4x4 V6 213cv
,Explorer Limited 5.0 4x4 V8
,Explorer Sport 4.0 V6
,Explorer XL 4x2 4.0 V6
,Explorer XL 4x4 4.0 V6
,Explorer XLT 4x2 4.0 V6
,Explorer XLT 4x4 4.0 V6
,F-100 2.3
,F-100 Blazer 2.3
,F-100 CD 2.3
,F-100 Super 2.3
,F-100 Super Série 2.3
,F-1000 CD/Blazer 3.6
,F-1000 CD/Blazer 3.9 Dies.
,F-1000 Lightning/ Super 4.9i
,F-1000 Regular Cab. 4.9i
,F-1000 S. S. Diesel / S.S. Diesel Turbo
,F-1000 SR XK Deserter Diesel
,F-1000 SR XK Deserter
,F-1000 Super 3.6 / Super Série 3.6
,F-1000 Super CE 4.9i / 3.6
,F-1000 Super Diesel / Super Diesel Turbo
,F-1000 Super Diesel CE 3.9
,F-1000 Super Série CE 4.9i / 3.6
,F-1000 Super Série CE Diesel 3.9
,F-1000 Super/ S.Série 4x4 3.9 Diesel
,F-1000 Tropical CD 2.5 HSD/4.3 Diesel TB
,F-1000 Tropical CD 4.9i
,F-1000 Tropical SL/ Van 4.9i
,F-1000 Tropical SL/ Van T.Diesel (todas)
,F-1000 XL 2.5 HSD Diesel TB
,F-1000 XL 4.9i
,F-1000 XL 4.9i CE
,F-1000 XL 4x4 Diesel Turbo
,F-1000 XL Diesel Turbo
,F-1000 XLT 2.5 HSD Diesel TB
,F-1000 XLT 4x4 Diesel Turbo
,F-1000 XLT CE 4.9i
,F-1000 XLT Diesel Turbo
,F-1000 XLT/XL Lighting 4.9i
,F-150 XL Triton 4.3 V6
,F-150 XLT Triton 4.3
,F-150 XLT Triton 4.6 V8
,F-150 XLT Triton 5.8
,F-250 F-MILHA CD 3.9 TB Diesel
,F-250 TropiCab CE 3.9 TB Diesel
,F-250 Tropical 3.9 Diesel
,F-250 Tropical 4.2 CE / CD Diesel TB
,F-250 Tropical 4.2 V6
,F-250 Tropical SL/ Van T.Diesel (todas)
,F-250 Tropicampo CD 3.9 TB Diesel
,F-250 Tropicampo Executive 3.9 TB Diesel
,F-250 Tropiclassic 3.9 TB Diesel
,F-250 Tropivan Executive 3.9 TB Diesel
,F-250 Tropivan/Tropi. Plus 3.9 TB Diesel
,F-250 XL 3.9 4x2 Diesel
,F-250 XL 3.9 4x4 TB Diesel
,F-250 XL 3.9 CD TB Diesel
,F-250 XL 4.2 180cv CD TB Diesel
,F-250 XL 4.2 Turbo Diesel
,F-250 XL 4.2 V6
,F-250 XL Super Duty 3.9 Diesel
,F-250 XL Super Duty 4.2 TB Diesel
,F-250 XL Super Duty 4.2 V6
,F-250 XLT 3.9 4x2 CD TB Diesel
,F-250 XLT 3.9 4x2 Diesel TB
,F-250 XLT 3.9 4x4 CD TB Diesel
,F-250 XLT 3.9 4x4 TB Diesel
,F-250 XLT 4.2 180cv CD TB Diesel
,F-250 XLT 4.2 TB Diesel
,F-250 XLT 4.2 V6
,Fiesta 1.0 8V Flex/Class 1.0 8V Flex 5p
,Fiesta 1.0i 3p e 5p
,Fiesta 1.3 3p e 5p
,Fiesta 1.5 16V Flex Mec. 5p
,Fiesta 1.6 16V Flex Aut. 5p
,Fiesta 1.6 16V Flex Mec. 5p
,Fiesta 1.6 8V Flex/Class 1.6 8V Flex 5p
,Fiesta Class 1.0 2p
,Fiesta Class 1.0 4p
,Fiesta Class 1.6 8V 98cv 5p
,Fiesta CLX 1.3i 3p
,Fiesta CLX 1.3i 5p
,Fiesta CLX 1.4i 16V 3p e 5p
,Fiesta GL 1.0 3p
,Fiesta GL 1.0 5p
,Fiesta GL Class 1.0i 5p
,Fiesta GLX 1.6 8V 3p
,Fiesta GLX 1.6 8V 5p
,Fiesta Personnalité 1.0 8V 66cv 5p
,Fiesta S 1.0 8V Flex 5p
,Fiesta SE 1.0 8V Flex 5p
,Fiesta SE 1.6 16V Flex 5p
,Fiesta SE 1.6 8V Flex 5p
,Fiesta SE Style 1.6 16V Flex Mec. 5p
,Fiesta Sed. 1.6 8V Flex 4p
,Fiesta Sed. Personnalité 1.0 8V 4p
,Fiesta Sed. Supercharger 1.0 8V 4p
,Fiesta Sed. TI./TI.Plus1.6 16V Flex Aut.
,Fiesta Sedan 1.0 8V Flex 4p
,Fiesta Sedan 1.6 16V Flex Aut.
,Fiesta Sedan 1.6 16V Flex Mec.
,Fiesta Sedan S 1.0 8V Flex 4p
,Fiesta Sedan SE 1.0 8V Flex 4p
,Fiesta Sedan SE 1.6 16V Flex 4p
,Fiesta Sedan SE 1.6 8V Flex 4p
,Fiesta Sedan Street 1.0 8v 4p
,Fiesta Sedan Street 1.6 8v 4p
,Fiesta Sedan TITANIUM 1.6 16V Flex Mec
,Fiesta SEL 1.6 16V Flex Aut. 5p
,Fiesta SEL 1.6 16V Flex Mec. 5p
,Fiesta SEL Style 1.6 16V Flex Mec. 5p
,Fiesta Sport 1.0MPi 4p
,Fiesta Sport 1.6 16V Flex Mec.
,Fiesta Sport 1.6MPi 4p
,Fiesta Street 1.0 8v 3p
,Fiesta Street 1.6 8v 95cv 5p
,Fiesta Street/ Action 1.0 8v 5p
,Fiesta Supercharger 1.0 8V 95cv 5p
,Fiesta TIT./TIT.Plus 1.6 16V Flex Aut.
,Fiesta TIT.Plus 1.0 12V EcoBoost Aut. 5p
,Fiesta TITANIUM 1.6 16V Flex Mec.
,Fiesta TRAIL 1.0 8V Flex 5p
,Fiesta TRAIL 1.6 8V Flex 5p
,Focus 1.6 S/1.6 SE Flex 16v 5p Aut
,Focus 1.6 S/SE/SE Plus Flex 8V/16V 5p
,Focus 1.8 16V 5p
,Focus 2.0 16V/ 2.0 16V Flex 5p
,Focus 2.0 16V/SE/SE Plus Flex 5p Aut.
,Focus Fastback SE/SE PLUS 2.0 Flex Aut.
,Focus Fastback TIT./T.PLUS 2.0 Flex Aut.
,Focus Ghia 2.0 16V/ 2.0 16V Flex 5p Aut
,Focus Ghia Sed. 2.0 16V/ 2.0 16V Flex 4p
,Focus Ghia Sed. 2.0 16V/2.0 16V Flex Aut
,Focus Ghia/ XR 2.0 /Ghia 2.0 16V Flex 5p
,Focus Sed. TI./TI.Plus 2.0 16V Flex Aut
,Focus Sedan 1.6 16V Flex 4p Aut.
,Focus Sedan 1.6/ 1.6 Flex 8V/16v 4p Mec.
,Focus Sedan 1.8 16V 115cv 4p
,Focus Sedan 2.0 16V/ 2.0 16V Flex 4p
,Focus Sedan 2.0 16V/ 2.0 16V Flex 4p Aut
,Focus TITA/TITA Plus 2.0 Flex 5p Aut.
,Focus TITANIUM 2.0 16V Flex 5p Mec.
,Furglaine 3.6
,Furglaine 3.9 Diesel
,Furglaine Chateaux/Exec. 3.9 Diesel
,Fusion 2.5L I-VCT Flex Aut.
,Fusion Hybrid 2.5 16V 193cv Aut.
,Fusion SE 2.5 I-VCT Flex 16V Aut.
,Fusion SEL 2.0 Ecobo. 16V 248cv Aut.
,Fusion SEL 2.3 16V 162cv Aut.
,Fusion SEL 2.5 16V 173cv Aut.
,Fusion SEL 3.0 V6 24V 243cv Aut.
,Fusion SEL 3.0 V6 AWD 24V 243cv Aut.
,Fusion Titanium 2.0 GTDI EcoBo. Awd Aut
,Fusion Titanium 2.0 GTDI EcoBo. Fwd Aut.
,Fusion Titanium HYBRID 2.0 145cv Aut.
,Ibiza 3.9 Furgão Diesel
,Ibiza Chat./Exec. 3.9 Diesel
,KA 1.0 8V/1.0 8V ST Flex 3p
,Ka 1.0 SEL TiCVT Flex 5p
,KA 1.0 TECNO 8V Flex 3p
,Ka 1.0 TiCVT Flex 5p
,KA 1.0i 3p
,Ka 1.5 16V Flex 5p
,KA 1.6 8V Flex 3p
,KA 1.6 TECNO 8V Flex 3p
,KA Action 1.6 MPI 8V 95cv
,KA Black 1.0 MPI 8v 65cv
,KA Black 1.6 MPI 8v 95cv
,KA CLX 1.3i 3p
,KA GL 1.0i Zetec Rocam
,KA GL Image 1.0i/ 1.0i Zetec Rocam
,KA Image 1.0i
,KA MP3 1.0 MPI 8V 65cv
,KA MP3 1.6 MPI 8V 95cv
,Ka SEL 1.5 16V Flex 5p
,KA Sport 1.6 8V Flex 3p
,KA Street 1.0i
,KA Tecno 1.0i 8v Zetec Rocam
,KA XR 1.6 MPI 8V
,Ka+ Sedan 1.0 SEL TiCVT Flex 4p
,Ka+ Sedan 1.0 TiCVT Flex 4p
,Ka+ Sedan 1.5 16V Flex 4p
,Ka+ Sedan 1.5 SEL 16V Flex 4p
,Mondeo CLX 1.8 4p e 5p
,Mondeo CLX 1.8i SW
,Mondeo CLX 2.0i 4p Aut
,Mondeo CLX 2.0i 4p Mec
,Mondeo CLX 2.0i SW Aut
,Mondeo CLX 2.0i SW Mec
,Mondeo Ghia 2.0 16V 143cv 4p Aut
,Mondeo Ghia 2.0 16V 143cv 4p Mec
,Mondeo Ghia 2.5 V6 Aut
,Mondeo Ghia 2.5 V6 Mec
,Mondeo GLX 2.0 16V 4p Aut
,Mondeo GLX 2.0 4p e 5p
,Mondeo GLX 2.0i SW Mec./ Aut.
,Mustang 3.8 V6
,Mustang 3.8 V6 Conv.
,Mustang Cobra 5.7 V8
,Mustang GT V8
,Mustang GT V8 Conversível
,Pampa 4x4 Jeep GL / L 1.6
,Pampa Ghia 1.6/1.8/DUO
,Pampa GL 1.6/ 1.8
,Pampa L 1.6
,Pampa L 1.8i / 1.8
,Pampa S 1.8
,Probe 2.0/2.2
,Probe GT 2.5 V6
,Ranger 2.5 4x2 CD TB Diesel
,Ranger 2.5 4x2 CE Diesel
,Ranger 2.5 4x2 TB Diesel
,Ranger 2.5 4x4 CD TB Diesel
,Ranger 2.5 4x4 CE TB Diesel
,Ranger 2.5 4x4 TB Diesel
,Ranger 2.5i CD
,Ranger 2.5i CE
,Ranger 2.5i CS
,Ranger Limited 2.3 150cv CD
,Ranger Limited 2.5 16V 4x2 CD Flex
,Ranger Limited 3.0 PSE 4x4 CD TB Diesel
,Ranger Limited 3.2 20V 4x4 CD Aut. Dies.
,Ranger Splash CE
,Ranger Splash CS
,Ranger SPORT 2.5 Flex 16V 4x2 CS
,Ranger STX 4.0 CS/ CE
,Ranger TROPICAB 2.5 16V 4X2 Flex
,Ranger TROPICAB 3.2 20V 4X4 TB Diesel
,Ranger TROPIVAN 2.5 16V 4X2 Flex
,Ranger TROPIVAN 3.2 20V 4X4 TB Dies.Aut.
,Ranger TROPIVAN 3.2 20V 4X4 TB Diesel
,Ranger TROPIVAN XLT 2.3 16V 150cv
,Ranger TROPIVAN XLT 3.0 PSE 4x2 TB Dies.
,Ranger TROPIVAN XLT 3.0 PSE 4x4 TB Dies.
,Ranger XL 2.2 4x4 Cd Diesel Mec.
,Ranger XL 2.2 4x4 CS Diesel Mec.
,Ranger XL 2.3 16v 137cv 4x2 CD Repower.
,Ranger XL 2.3 16v 137cv 4x2 CE Repower.
,Ranger XL 2.3 16v 137cv 4x2 CS Repower.
,Ranger XL 2.3 CS
,Ranger XL 2.8 8v 135cv 4x2 CD TB Diesel
,Ranger XL 2.8 8v 135cv 4x2 CE TB Diesel
,Ranger XL 2.8 8v 135cv 4x2 CS TB Diesel
,Ranger XL 2.8 8v 135cv 4x4 CD TB Diesel
,Ranger XL 2.8 8v 135cv 4x4 CE TB Diesel
,Ranger XL 2.8 8v 135cv 4x4 CS TB Diesel
,Ranger XL 3.0 PSE 163cv 4x2 CD TB Diesel
,Ranger XL 3.0 PSE 163cv 4x2 CS TB Diesel
,Ranger XL 3.0 PSE 163cv 4x4 CD TB Diesel
,Ranger XL 3.0 PSE 163cv 4x4 CS TB Diesel
,Ranger XL 4.0 12v V6 210cv 4x2 CS Repow.
,Ranger XL 4.0 CS
,Ranger XLS 2.2 4x4 CD Diesel Aut.
,Ranger XLS 2.2 4x4 CD Diesel Mec.
,Ranger XLS 2.3 16V 145cv/150cv 4x2 CD
,Ranger XLS 2.3 16V 145cv/150cv 4x2 CS
,Ranger XLS 2.5 16V 4x2 CD Flex
,Ranger XLS 2.5 16V 4x2 CS
,Ranger XLS 2.8 8V 135cv 4x2 CD TB Diesel
,Ranger XLS 2.8 8V 135cv 4x2 CS TB Diesel
,Ranger XLS 2.8 8V 135cv 4x4 CS TB Diesel
,Ranger XLS 2.8/2.8 Storm 4x4 CD TB Dies
,Ranger XLS 3.0 PSE 163cv 4x2 CD TB Dies.
,Ranger XLS 3.0 PSE 163cv 4x2 CS TB Dies.
,Ranger XLS 3.0 PSE 163cv 4x4 CD TB Dies.
,Ranger XLS 3.0 PSE Storm 4x4 CD TB Dies.
,Ranger XLS 3.2 20V 4x4 CD Diesel Aut.
,Ranger XLS 3.2 20V 4x4 CD Diesel Mec.
,Ranger XLS 3.2 20V 4x4 CS Diesel
,Ranger XLS SPORT 2.3 16V 150cv CS
,Ranger XLT 2.3 16V 150cv CD Repower.
,Ranger XLT 2.3 CS
,Ranger XLT 2.5 16V 4x2 CD Flex
,Ranger XLT 2.5 4x2 CD Diesel
,Ranger XLT 2.5 4x2 CE Diesel
,Ranger XLT 2.5 4x2 CS Diesel
,Ranger XLT 2.5 4x4 CD Diesel
,Ranger XLT 2.5 4x4 CE TB Diesel
,Ranger XLT 2.5 4x4 CS TB Diesel
,Ranger XLT 2.8 8v 135cv 4x2 CD TB Diesel
,Ranger XLT 2.8 8v 135cv 4x4 CD TB Diesel
,Ranger XLT 2.8 8v 135cv 4x4 CE TB Diesel
,Ranger XLT 3.0 PSE 163cv 4x2 CD TB Dies.
,Ranger XLT 3.0 PSE 163cv 4x4 CD TB Dies.
,Ranger XLT 3.2 20V 4x4 CD Diesel
,Ranger XLT 3.2 20V 4x4 CD Diesel Aut.
,Ranger XLT 4.0 12v V6 210cv 4x4 CD Repow
,Ranger XLT 4.0 12v V6 210cv 4x4 CE Repow
,Ranger XLT 4.0 4x2 CE
,Ranger XLT 4.0 4x2 CS
,Ranger XLT 4.0 4x4 CD
,Ranger XLT 4.0 4x4 CE
,Ranger XLT 4.0 4x4 CS
,Ranger XLT Limit./L.Cent. 2.8 CD TB Dies
,Royale Ghia 2.0i 4p / 2.0i / 2.0
,Royale GL 1.8i 4p / 1.8i / 1.8
,Royale GL 2.0i 2e4p / 2.0i / 2.0
,Taurus GL 3.0 V6
,Taurus GL SW 3.0 V6 24V
,Taurus L/LX 3.0 V6
,Taurus LX SW 3.0 V6 24V
,Taurus SHO 3.0 V6
,Thunderbird SC 3.8 V6
,TRANSIT Chassi 2.2 TDCI Diesel
,TRANSIT Chassi 2.4 TDCI Diesel
,TRANSIT Furgão 2.2 TDCI Curto Diesel
,TRANSIT Furgão 2.2 TDCI Longa Diesel
,TRANSIT Furgão 2.2 TDCI Longo Jumbo Dies
,TRANSIT Furgão 3330 2.4 TDCI Curto Dies.
,TRANSIT Furgão 3550 2.4 TDCI Longo Dies.
,TRANSIT Van 3550 2.2 TDCI 14/16lug. Dies
,TRANSIT Van 3550 2.4 TDCI 14lug. Diesel
,Verona Ghia 2.0i 4p
,Verona GL 1.8i / LX 1.8i 4p
,Verona GLX 1.8 (Modelo antigo)
,Verona GLX 1.8i / 1.8 4p
,Verona GLX 2.0i / 2.0 4p
,Verona LX 1.6 (Modelo antigo)
,Verona LX 1.8 (Modelo antigo)
,Verona S 2.0i 4p
,Versailles Ghia 2.0i / 2.0 2p e 4p
,Versailles GL 1.8i / 1.8 2p e 4p
,Versailles GL 2.0i / 2.0 2p e 4p
,Windstar GL
,Windstar LX
FOTON,AUMARK 3.5 - 11DT 2.8 4x2 TB Diesel
,AUMARK 3.5 - 11ST 2.8 4x2 TB Diesel
,AUMARK 3.5 - 14ST 2.8 4x2 TB Diesel
,AUMARK 3.50AK 2.8 4x2 TB Diesel
Fyber,Buggy 2000W 1.6 8V
,Buggy 2000W 1.8 8V/ 1.8 8V Flex
GEELY,EC7 1.8 16V 130cv 4p Mec.
,GC2 1.0 12V 68cv 5p
GM-Chevrolet,A-10 2.5/4.1
,A-10 De Luxe 2.5/4.1
,A-20 Custom Std. CD/ De Luxe CD
,A-20 Custom/ C-20 Luxe 4.1
,A-20 Custom/ C-20 S 4.1
,AGILE LT 1.4 MPFI 8V FlexPower 5p
,AGILE LTZ 1.4 MPFI 8V FlexPower 5p
,AGILE LTZ EASYTRONIC 1.4 8V FlexPower 5p
,AGILE LTZ EFFECT 1.4 8V FlexPower 5p Mec
,AGILE LTZ EFFECT EASYTR.1.4 8V FlexP. 5p
,AGILE LTZ WI-FI 1.4 8V FlexPower 5p
,Astra 2.0 8V/ CD 2.0 8V Hatchback 5p Aut
,Astra 2.0 8V/ CD 2.0 8V Hatchback 5p Mec
,Astra 2.0/ CD 2.0 8V 3p Aut.
,Astra 2.0/ CD/ GLS 2.0 MPFI 16V 3p
,Astra 2.0/ CD/ Sunny/ GLS 2.0 8V 3p
,Astra 500 Sedan 2.0 MPFI 16V 4p
,Astra Advant. 2.0 MPFI 8V FlexP. 5p Aut.
,Astra Advantage 2.0 MPFI 8V FlexPower 5p
,Astra Advantage 2.0 MPFI FlexPower 8V 3p
,Astra Comfort 2.0 MPFI FlexPower 8V 3p
,Astra Comfort 2.0 MPFI FlexPower 8V 5p
,Astra Eleg. 2.0 MPFI FlexPower 8V 5p Aut
,Astra Elegance 2.0 MPFI FlexPower 8V 3p
,Astra Elegance 2.0 MPFI FlexPower 8V 5p
,Astra Elite 2.0 MPFI Flex Pow. 8V 5p Aut
,Astra Elite 2.0 MPFI FlexPower 8V 5p Mec
,Astra GL 1.8 MPFI 3p
,Astra GL Milenium 1.8 MPFI 4p
,Astra GLS 2.0 MPFI
,Astra GLS 2.0 MPFI SW
,Astra GSi 2.0 16v 136cv Hatchback 5p
,Astra S.Sport 2.0 F.Pow. 5p/Sport 2.0 3p
,Astra Sed. Advant. 2.0 8V MPFI FlexP. 4p
,Astra Sed.Advant. 2.0 8V MPFI FlexP. Aut
,Astra Sed.Comf. 2.0 MPFI FlexPower 8V 4p
,Astra Sed.Comf.2.0 MPFI MultiPower 8V 4p
,Astra Sed.Eleg. 2.0 MPFI FlexP.8V 4p Aut
,Astra Sed.Eleg.2.0 MPFI FlexPower 8V 4p
,Astra Sed.Eleg.2.0 MPFI MultiPower 8V 4p
,Astra Sed.Elite 2.0 MPFI FlexP.8V 4p Aut
,Astra Sed.Elite 2.0 MPFI FlexPower 8V 4p
,Astra Sedan 1.8 MPFI 8V 4p (taxi)
,Astra Sedan 2.0/ CD 2.0 MPFI 8V 4p Aut.
,Astra Sedan 2.0/CD/ Expres.GLS 2.0 8V 4p
,Astra Sedan 2.0/CD/ GLS/ Adv. 2.0 16V 4p
,Astra Sedan Comfort 1.8 MPFI 8V 4p
,Astra Sedan/ Astra GL Sedan 1.8 MPFI 4p
,Blazer Jimmy 4.3 V6
,Blazer S-10 4.3 V6
,Blazer SS-10 4.3 V6
